대여소 번호,공원유무,유동인구,조사지점거리,지하철거리,대여소 이름
430,0,2520,102.335453,0.32,KEB하나은행 장충동지점
3600,0,3315,102.5455157,0.246,사근빗물펌프장 건너편
3431,0,5637,104.9790272,2.968,로제우스 레포츠센터
3552,1,13446,105.5677567,0.244,서울숲 공영주차장앞
1540,0,17817,106.4804438,0.02,가오리역
304,0,73200,106.6548679,0.035,광화문역 2번출구 앞
322,0,12456,107.2637952,0.421,명동성당 앞
3569,0,86214,107.7918177,0.115,건대병원후문
1461,0,16788,108.0344117,0.156,동양엔파트 앞
452,0,18516,108.5623291,0.194,동대문 종합시장 버스정류장
334,0,159564,108.8408355,0.017,종로3가역 2번출구 뒤
474,1,128418,108.8838227,0.105,동대문역사문화공원역 1번출구 뒤편
1326,0,22353,110.1462101,0.035,상월곡역 1번출구
3432,0,275511,110.2321819,0.272,종로2가 사거리
680,0,13158,110.5344776,0.379,꿈마루어린이도서관 앞
803,0,53223,110.5745937,0.393,한남초교 앞 보도육교
546,0,5598,110.8913944,0.611,잠실대교북단 교차로
306,0,128235,111.0647733,0.019,광화문역 7번출구 앞
3412,0,71025,111.7786578,0.152,세운상가
3570,0,37578,111.9459106,0.195,구의역 리버비스타 오피스텔
558,0,73830,112.1403517,0.379,성동광진 교육지원청 앞
843,0,58980,112.4571416,0.217,녹사평역 광장
3513,0,55704,112.7658326,0.031,상왕십리역 1번출구
1445,0,2583,113.7365473,0.925,용마지구대
639,0,7188,114.1955461,0.684,서울시립대 후문
572,0,13857,115.5469678,0.221,국립정신 건강센터 앞
1464,0,33012,115.7837024,0.042,중화역 4번출구
819,0,5712,116.199573,0.114,선린인터넷 고등학교
1408,0,9273,116.8869671,0.056,먹골역 6번출구 앞
433,0,26091,117.1409685,0.01,을지로입구역 2번출구
1535,0,126267,117.1556203,0.16,효성인텔리안 앞
1425,0,3273,117.372719,0.983,용마문화복지센터
310,0,153570,117.9110914,0.116,청계광장 옆
1719,0,10908,119.3398367,0.531,신도봉사거리 버스정류장
627,0,3411,119.5158917,2.054,장안동삼거리 교통섬
472,0,39870,119.6952873,0.242,삼일교(시그니쳐 타워)
3401,0,6744,119.7560596,0.305,창신두산아파트
634,0,63669,119.7838354,0.322,외국어대 정문 앞
378,0,20307,121.0464521,0.293,청계7가 사거리
604,1,12903,121.7941213,0.537,답십리초등학교 옆 공원
587,0,15678,122.0284121,0.214,유니베라 앞
841,0,46359,122.3983325,0.02,신용산역 1번 출구
529,0,6750,122.863221,0.029,장한평역 8번 출구 앞
505,0,7854,124.0191046,0.211,자양사거리 광진아크로텔 앞
1392,0,10722,124.7174449,0.794,돈암삼성풍림아파트
338,0,51126,125.0110193,0.408,세운스퀘어 앞
3404,0,77913,125.5545068,0.092,서울특별시 중부교육지원청
642,0,13548,125.8088706,0.179,신답역 사거리
3423,0,33354,126.1910835,0.661,현대그룹(본사)
646,0,12936,126.8360778,0.07,장한평역 1번출구 (국민은행앞)
314,0,32868,128.1828666,0.629,국립현대미술관
1372,0,37023,128.603299,0.173,KEB은행 고대점
1479,0,12453,128.7578757,0.539,면목 홈플러스 2 
