유동인구(일주일),지하철거리(m),공원유무,합(년),대여,반납,,,유동인구(일주일)/200000*255,지하철 거리 /3000*255,0or255,5000씩 나눠서 분류
6849,7,0,25802,13258,12544,,,,,,
96225,165,0,26794,13362,13432,,,,,,
63669,25,0,24478,11956,12522,,,,,,
97248,957,1,26189,12622,13567,,,,,,
53223,54,0,8564,5177,3387,,,,,,
53223,393,0,6635,3258,3377,,,,,,
12141,394,1,18674,8871,9803,,,,,,
11835,341,0,19368,9794,9574,,,,,,
199899,28,0,15210,7682,7528,,,,,,
1326,129,0,14498,6984,7514,,,,,,
31008,301,0,8403,4284,4119,,,,,,
31008,103,0,8587,5497,3090,,,,,,
10356,293,0,8705,4366,4339,,,,,,
19755,24,0,18759,9407,9352,,,,,,
17322,623,0,25639,12577,13062,,,,,,
46359,11,0,48333,23769,24564,,,,,,
19755,10,0,11591,5734,5857,,,,,,
50685,274,0,24681,12150,12531,,,,,,
5712,114,0,16545,8104,8441,,,,,,
3774,378,0,13767,6954,6813,,,,,,
46092,236,0,20797,10341,10456,,,,,,
5712,2,0,14066,6975,7091,,,,,,
58980,224,0,8830,5000,3830,,,,,,
6120,31,1,28062,13817,14245,,,,,,
63048,95,0,15644,7817,7827,,,,,,
5712,35,0,19647,9478,10169,,,,,,
46359,20,0,32766,15901,16865,,,,,,
58980,217,0,15760,9121,6639,,,,,,
12738,804,0,13704,6862,6842,,,,,,
17508,460,0,15797,8429,7368,,,,,,
7578,98,0,7494,3630,3864,,,,,,
7578,177,0,6141,3039,3102,,,,,,
35460,10,0,22575,11155,11420,,,,,,
65307,812,0,33629,16430,17199,,,,,,
14874,963,0,33165,15692,17473,,,,,,
19290,330,0,42358,21317,21041,,,,,,
7392,469,0,17392,8602,8790,,,,,,
16626,170,0,13339,6623,6716,,,,,,
22353,48,0,9358,5149,4209,,,,,,
22353,35,0,12046,6721,5325,,,,,,
5274,14,0,17002,8348,8654,,,,,,
16626,15,0,40150,19614,20536,,,,,,
13419,241,0,27032,12121,14911,,,,,,
6960,405,0,13486,6708,6778,,,,,,
22305,326,0,28175,14397,13778,,,,,,
17508,247,0,51479,25303,26176,,,,,,
19845,231,0,18350,9358,8992,,,,,,
12828,392,0,19490,9544,9946,,,,,,
6561,1074,0,7883,3971,3912,,,,,,
5949,981,0,3107,2169,938,,,,,,
3243,737,1,14771,8289,6482,,,,,,
35460,204,0,9135,4440,4695,,,,,,
10743,465,0,30957,15130,15827,,,,,,
19845,284,0,5460,3435,2025,,,,,,
35460,325,0,5057,2777,2280,,,,,,
2301,391,0,36891,18054,18837,,,,,,
6258,54,0,8804,4973,3831,,,,,,
32607,346,0,9893,4695,5198,,,,,,
8385,1447,0,11252,6061,5191,,,,,,
7578,13,0,8221,4053,4168,,,,,,
19845,12,0,22852,11137,11715,,,,,,
19845,338,0,30261,15149,15112,,,,,,
5949,839,0,4393,2527,1866,,,,,,
7392,260,0,5439,2873,2566,,,,,,
35460,325,0,7791,3796,3995,,,,,,
183168,399,0,20006,9990,10016,,,,,,
5949,1322,0,5561,3933,1628,,,,,,
37023,173,0,39148,19775,19373,,,,,,
16626,215,0,12435,6314,6121,,,,,,
8289,414,0,22300,10736,11564,,,,,,
22353,267,0,4044,2143,1901,,,,,,
9870,340,0,29931,14153,15778,,,,,,
16788,129,0,46041,22547,23494,,,,,,
2865,392,0,22331,11169,11162,,,,,,
61287,19,0,19220,8690,10530,,,,,,
9273,56,0,24516,11088,13428,,,,,,
7002,407,0,3041,2286,755,,,,,,
70458,269,0,13118,6341,6777,,,,,,
72699,150,0,8858,4233,4625,,,,,,
4200,30,0,17911,8142,9769,,,,,,
32391,17,0,34962,16430,18532,,,,,,
70458,43,0,15189,7580,7609,,,,,,
3273,983,0,9499,4929,4570,,,,,,
3228,586,0,14770,8635,6135,,,,,,
12819,221,0,15141,7036,8105,,,,,,
13218,1050,0,26319,13084,13235,,,,,,
33012,33,0,35166,15785,19381,,,,,,
14055,592,0,14422,6856,7566,,,,,,
13218,945,0,9041,4640,4401,,,,,,
6660,925,1,9391,4439,4952,,,,,,
6660,762,0,16245,7602,8643,,,,,,
12819,386,0,20012,9315,10697,,,,,,
12039,912,0,7335,3678,3657,,,,,,
2583,925,0,4159,1967,2192,,,,,,
10575,672,0,25504,11744,13760,,,,,,
72699,27,0,31920,15588,16332,,,,,,
44064,344,0,35116,17799,17317,,,,,,
70458,2,0,31769,16387,15382,,,,,,
16788,440,0,33521,15424,18097,,,,,,
7383,272,0,19390,8454,10936,,,,,,
70458,13,0,24783,12448,12335,,,,,,
12039,1071,0,14400,7018,7382,,,,,,
984,510,0,11538,5860,5678,,,,,,
10923,220,0,25854,12590,13264,,,,,,
10923,350,0,6463,3565,2898,,,,,,
55326,160,0,26251,12942,13309,,,,,,
51195,119,0,56597,27242,29355,,,,,,
11313,278,0,9053,4562,4491,,,,,,
7563,247,0,7247,3771,3476,,,,,,
51195,266,0,29262,14403,14859,,,,,,
14598,450,0,10852,5413,5439,,,,,,
17817,187,0,9867,4952,4915,,,,,,
9636,395,0,16559,8248,8311,,,,,,
55326,300,0,7538,3978,3560,,,,,,
32118,493,0,11087,5621,5466,,,,,,
45153,313,0,25713,12742,12971,,,,,,
5889,664,0,21170,10744,10426,,,,,,
59070,12,0,40255,19146,21109,,,,,,
1101,2586,0,25390,10990,14400,,,,,,
8385,1454,1,13037,6078,6959,,,,,,
126267,160,0,43129,20838,22291,,,,,,
22812,50,0,22594,11132,11462,,,,,,
17817,20,0,13877,6966,6911,,,,,,
11313,60,0,7146,3764,3382,,,,,,
72090,130,0,12491,6038,6453,,,,,,
9870,12,0,25199,12447,12752,,,,,,
10047,33,0,14209,6473,7736,,,,,,
1578,146,0,8088,3928,4160,,,,,,
10401,284,0,22422,10950,11472,,,,,,
30849,214,0,28242,13766,14476,,,,,,
30849,382,0,5505,3128,2377,,,,,,
10908,531,0,10959,5172,5787,,,,,,
16617,24,0,46266,21542,24724,,,,,,
7458,160,0,6199,3178,3021,,,,,,
9681,439,0,16654,7957,8697,,,,,,
1578,214,0,3342,1666,1676,,,,,,
1578,475,0,3857,2200,1657,,,,,,
10047,292,0,24625,11439,13186,,,,,,
9450,345,0,34322,17957,16365,,,,,,
26370,29,0,33610,16650,16960,,,,,,
7854,434,0,43104,21909,21195,,,,,,
13857,68,0,16741,8080,8661,,,,,,
11835,724,0,3598,2830,768,,,,,,
25311,570,0,33626,17286,16340,,,,,,
14631,376,0,21807,11142,10665,,,,,,
4155,889,0,24956,12422,12534,,,,,,
44040,565,0,47487,23633,23854,,,,,,
24042,696,0,57867,28622,29245,,,,,,
10398,335,0,10511,5266,5245,,,,,,
55704,31,0,26223,14714,11509,,,,,,
3528,318,0,33167,16868,16299,,,,,,
13446,333,1,51013,25522,25491,,,,,,
41874,443,0,28464,13161,15303,,,,,,
26370,11,0,61853,30673,31180,,,,,,
29361,220,0,10300,5252,5048,,,,,,
28719,934,0,16662,7803,8859,,,,,,
3528,631,0,1334,1089,245,,,,,,
86214,108,0,112432,54901,57531,,,,,,
59940,100,0,58260,29045,29215,,,,,,
10890,882,0,34510,16609,17901,,,,,,
24042,378,0,9,6,3,,,,,,
